,,,,
,,,,
,,,,
,Код материала,Наименование товара,Ед. изм,Фирма
,00-00002016,Насос глубинный 9-CI50SS-130B-03,шт,
,00-00002017,Управления щитом 8T 30050D005,шт,
,00-00002018,Тройник из ппр 75х50,шт,
,00-00002019,Перфодрель Epa EPD-26-3,шт,
,00-00002020,Перфоратор Epa EEP-40-1,шт,
,00-00002021,Болгарка EPA  EMSH Батарейка 125мм,шт,
,00-00002022,Андава 60,шт,
,00-00002023,Шпатель 70,шт,
,00-00002024,Андава травертин темир,шт,
,00-00002025,Фильтр FUEL 0087 (спец тех),шт,
,00-00002026,Фильтр FUEL PL421 (спец тех),шт,
,00-00002027,Фильтр FUEL H710WK HENGST (спец тех),шт,
,00-00002028,Холодильник Premier Model PRM 170/SDDFS 90литр,шт,
,00-00002029,Чиноз кум,м3,
,00-00002030,Крипления для газоблока 2,шт,
,00-00002031,Полимерная опора для аутригера 650х650х40 POP650,шт,
,00-00002032,Лапка из листа 400х400х20мм,шт,
,00-00002033,Полоса из листа 250х1250х25мм,шт,
,00-00002034,Ремен 750 B,шт,
,00-00002035,Полотвод из ппр 110мм,шт,
,00-00002036,Тройни из ппр 75х63мм,шт,
,00-00002037,Рекор в/р 75мм,шт,
,00-00002038,Каучуковая трубка изоляция Rocaflex 76мм 9мм,м,
,00-00002039,Резбочка сварочный 63мм,шт,
,00-00002040,Масло Gazprom Diesel Extra 20-50,л,
,00-00002041,Бетон коронка 76х450,шт,
,00-00002042,Фиксатор для т/п,шт,
,00-00002043,Дихлофос,шт,
,00-00002044,Шлифовальный диск 180 Точильний,шт,
,00-00002045,Шлифовальный диск 125 Точильний,шт,
,00-00002046,Шлифовальный диск 230 Точильний,шт,
,00-00002047,Кабель 1х35 для сварочного аппарата,м,
,00-00002048,Анкерный болть 8*10*100 [600],шт,
,00-00002049,Санга   SANGA M8,шт,
,00-00002050,Водиной вентилятор пушка комплект (хитой импорт),шт,
,00-00002051,"Вибратор Плошодочный 0,37kw 380v",шт,
,00-00002053,Азотная кислота,кг,
,00-00002054,Подшивник 32316 ( спец тех ),шт,
,00-00002055,Фильтр Zimax (спец тех ),шт,
,00-00002056,Угловой профиль капельник универсальный с армируюшей  сеткой 2м 8см (импорт Китай) Панда,шт,
,00-00002057,"Уголок 50х50х4,0 11,7м (вес за метр 3,05кг)",кг,
,00-00002058,Батарейка BA225030 (6V-2500mAh) Пульта управления стационарного помпа,шт,Анвар 90 988 37 10
,00-00002059,Вакум погрузчик (спец тех у-н),шт,
,00-00002060,Прорачный шланг спиральная 76мм,м,
,00-00002061,Хомут стальной 76мм,шт,
,00-00002062,Штуцер 12-02 (спец тех бру),шт,
,00-00002063,Штуцер 10-02 (спец тех бру),шт,
,00-00002064,Переходник 10х10 (спец тех бру),шт,
,00-00002065,Переходник 12х10 (спец тех бру),шт,
,00-00002066,Клин удда 1мм,пачка,
,00-00002067,Зажим удда 1мм,пачка,
,00-00002068,Чалька 10т 8м,шт,
,00-00002069,"Лебедка электрическая Тельфер 1,5т 25м трос, 220V",шт,
,00-00002070,Аккумлятор 195 1200AM,шт,
,00-00002071,Выпремитель BECKER GT4-12 (для катанка),шт,
,00-00002072,Спец обув,пар,
,00-00002073,Гибочный ключ по металу диаметр 20мм,шт,
,00-00002074,Арматурагиб ручной 12mm SD,шт,
,00-00002075,Болт М24х30,шт,
,00-00002076,Болт М24х150,шт,
,00-00002077,Гайка М24,шт,
,00-00002078,Шайба м24,шт,
,00-00002079,Сабельная пила Makute CRS001,шт,
,00-00002080,Ручной таль 1т 3м,шт,
,00-00002081,Двойное колено (отвод) DN125х275х45  MTWE27545,шт,
,00-00002082,Двойное колено (отвод) DN125х385х29 DEG,шт,
,00-00002083,"Балка двухтарвная ST 20 K,  L=2,15 PL",шт,
,00-00002084,"Балка двухтарвная ST 20 K,  L=3,90 PL",шт,
,00-00002085,Отвод,шт,
,00-00002086,Кабельный лоп,м,
,00-00002087,Плиточный клей двух компонентный Flexi bond 20 кг,шт,
,00-00002088,Смес Flexi Bond pro 7кг,шт,
,00-00002089,"Лист 4мм 1,5х1,95. 1,48х2,8",м2,
,00-00002090,Перила 1х5м,шт,
,00-00002091,Муфта для т/п,шт,
,00-00002092,Металлический ба из нержавеюшый сталь (импорт китай),комплектт,
,00-00002093,Труба металический 60х3,м,
,00-00002094,Полоса из листа 50х3 (Планка),м,
,00-00002095,Газ плита Haley-077,шт,
,00-00002096,Реле контроля фазы 100А JD 5,шт,
,00-00002097,Тепловой зашитный реле 18,шт,
,00-00002098,Печка зборный экскаватор (спец тех),шт,
,00-00002099,Маторчик датчик (спец тех),шт,
,00-00002100,Генератор погрузчик (спец тех),шт,
,00-00002101,"Закаленная труба стрелы 5,0мм 125мм 3м (40000-45000 СВМ) MHP5503 (стационар помпа)",шт,
,00-00002102,Сита 8 (дробилька),шт,
,00-00002103,Сита 20 (дробилька),шт,
,00-00002104,Черенок Кетмен,шт,
,00-00002105,Силикон Selsil C900,шт,
,00-00002106,2СК Двухветьвой строп канатный грузоподемностю 25тонн длиной 9метров,шт,
,00-00002107,Полоса вентиляционыый (лента),м,
,00-00002108,Генератор 7кв 220в дизельный Fora Generation DG8000,шт,
,00-00002109,Соя (хитой кухня),шт,
,00-00002110,"Соя 1,75л (хитой кухня)",шт,
,00-00002111,"Соя 1,9л (хитой кухня)",шт,
,00-00002112,Перец (хитой кухня),шт,
,00-00002113,Хого (хитой кухня),шт,
,00-00002114,Яги (хитой кухня),шт,
,00-00002115,12 грав 2 (хитой кухня),шт,
,00-00002116,Лапша 20 (хитой кухня),шт,
,00-00002117,Ведро (хитой кухня),шт,
,00-00002118,Тройник  (хитой кухня),шт,
,00-00002119,Чуп (хитой кухня),шт,
,00-00002120,Сабзи артадиган (хитой кухня),шт,
,00-00002121,Дуршлак (хитой кухня),шт,
,00-00002122,Козон (хитой кухня),шт,
,00-00002123,Помпа (хитой кухня),шт,
,00-00002124,Контейнер 12 метр,шт,
,00-00002125,Лавровый лист (хитой кухня),шт,
,00-00002126,Юлдузча приправа (хитой кухня),шт,
,00-00002127,Чеснок (хитой кухня),шт,
,00-00002128,Имбир (хитой кухня),шт,
,00-00002129,Ок туруп (хитой кухня),шт,
,00-00002130,Бодринг (хитой кухня),шт,
,00-00002131,Кабачка (хитой кухня),шт,
,00-00002132,Карея карам (хитой кухня),шт,
,00-00002133,Оу туруп (хитой кухня),шт,
,00-00002134,Калампир (хитой кухня),шт,
,00-00002135,Товук (хитой кухня),шт,
,00-00002136,Козон маленкый (хитой кухня),шт,
,00-00002137,Новот (хитой кухня),шт,
,00-00002138,Хитой палочка (хитой кухня),шт,
,00-00002139,Талния (спец тех),шт,
,00-00002140,Закладной деталь 20х500х500,шт,
,00-00002141,Модуль GPRS для EX 18. (Сетвой маршрутизаторы. модемы. роутеры и коммутаторы.),шт,
,00-00002142,Антитрешенный раствор (элитный) 25кг,шт,
,00-00002143,"Шина 12R22,5 GT831 18PR Gladstone Балон",шт,
,00-00002144,Тормозной поршен ZGAQ-02951 (спец тех у-н),шт,
,00-00002145,Кабелорез NF-95,шт,
,00-00002146,Автомат NM 63А,шт,
,00-00002147,Стрич пленка,шт,
,00-00002148,Масло Kortex CNG 15-40 20л,л,
,00-00002149,Масленный фильтр JX 1016 (BMX),шт,
,00-00002150,Кран для т/п 16х1/2,шт,
,00-00002151,Згон 76мм,шт,
,00-00002152,Бак металлический,шт,
,00-00002153,Лента 60см 6м (бру спец),шт,
,00-00002154,Лента 60см 5м (бру спец),шт,
,00-00002155,"Балка двухтарвная ST 20 K,  L=2  PL",шт,
,00-00002156,Унивилька 40L (леса),шт,
,00-00002157,Хитой перфоугол пластмасса,шт,
,00-00002158,Клипса для пластиковых труб 50,шт,
,00-00002159,Кронштейн для кондиционера,шт,
,00-00002160,Шпатель точечный декорный,шт,
,00-00002161,"Уголок 50мм 3мм 11,7м",кг,
,00-00002162,"Уголок 50мм 5мм 11,7м (1-мт 3,79кг) (1-почка 4733,4)",кг,
,00-00002163,Штрих лента,шт,
,00-00002164,Ручка гелевый,шт,
,00-00002165,Набор шестигранный ключ,шт,
,00-00002166,Перфоратор насадка миксер,шт,
,00-00002167,Тележка двух колесный (арава),шт,
,00-00002168,"Насос 2,2квт Grandfar CB-CHL12-25",шт,
,00-00002169,Тройник из ппр 50х20,шт,
,00-00002170,Кронштейн Матор  (спец тех),шт,
,00-00002171,Подшибник Т212 (спец тех),шт,
,00-00002172,Фасадный заземления Кронштейн,шт,
,00-00002173,Весы крановый ручной 10т,шт,
,00-00002174,Ремен СВ2240,шт,
,00-00002175,Зашитная сетка ограждения,шт,
,00-00002176,Ключ шестигранный 17мм,шт,
,00-00002177,Ключ шестигранный 14мм,шт,
,00-00002178,Ремен СВ5200 (Дробилка),шт,
,00-00002179,Подшибник 6006,шт,
,00-00002180,Шруповерт EPA  EED-10P-8,шт,
,00-00002181,Шпаклёвка фасадный vortex 20кг,шт,
,00-00002182,"Компрессор ZBM-0,1/8 (Китай импорт)",шт,
,00-00002183,"Подоконник 1,65м",шт,
,00-00002184,"Подоконник 1,45м",шт,
,00-00002185,Газовый редуктор (спец тех),шт,
,00-00002186,Унитаз,шт,
,00-00002187,Тен водяной 3р 12w,шт,
,00-00002188,Трансформатор,шт,
,00-00002189,Герметический светильник,шт,
,00-00002190,Лед лампочка 12W,шт,
,00-00002191,Наканечник Ф30 (спец тех),шт,
,00-00002192,Корпус Вапко (спец тех),шт,
,00-00002193,Дорожная сетка 15х15-5,шт,
,00-00002194,Компакт 250х8,шт,
,00-00002195,Манжета 10-25,шт,
,00-00002196,Манжета 230х250,шт,
,00-00002197,"Кольцо 230х3,5",шт,
,00-00002198,"Кольцо 240х3,5",шт,
,00-00002199,Кольцо 230х7,шт,
,00-00002200,Унитаз с бачком без крышка б/у,шт,
,00-00002201,Подшибник 2228 (спец тех),шт,
,00-00002202,Подшибник 113513 (спец тех),шт,
,00-00002203,Без Фтулька (спец тех),шт,
,00-00002204,Тройник сварной 76мм,шт,
,00-00002205,Кран пожарный 50мм,шт,
,00-00002206,Згон 50мм,шт,
,00-00002207,Прокладка клингрит 65мм,шт,
,00-00002208,"Опалубка 1,20х3,30",шт,
,00-00002209,Лента 800х38 (дробилка спец тех),мт,
,00-00002210,Клей (дробилка спец тех),шт,
,00-00002211,Заклопка (дробилка спец тех),шт,
,00-00002212,Матор гибочный (спец тех),шт,
,00-00002213,Матор пушка водяной (спец тех),шт,
,00-00002214,Задвижка 165мм,шт,
,00-00002215,Плоский фланец 65мм,шт,
,00-00002216,Ревизия ПВХ 110мм,шт,
,00-00002217,Шкиф помпа (спец тех),шт,
,00-00002218,Заглушка латунная н/р 20мм,шт,
,00-00002219,Пожарный щит 2 окон (узкий цвет серый) Наружный,шт,
,00-00002220,Пожарный щит 2 окон (узкий цвет серый) внутренный,шт,
,00-00002221,Шлифовальная машина для стен DWS 10501  1050W INEGO,шт,
,00-00002222,Миксер MX 214008 INEGO,шт,
,00-00002223,Кабель КГ 5х35,м,
,00-00002224,Пропан балон,шт,
,00-00002225,Вода помпа (насос),шт,
,00-00002226,Электронный Вода помпа (насос),шт,
,00-00002227,"Скоба 6,5тонн",шт,
,00-00002228,Подшибник 3626 (дробилка спец тех),шт,
,00-00002229,Подшибник сальник 13016013 (дробилка спец тех),шт,
,00-00002230,4СЦ Четырехветвевой строп цепной грузоподъемностью 10 тн длиной 4 метра с укорач крюком (паук),шт,
,00-00002231,Газ балон,шт,
,00-00002232,"Прокат листовой горячеоцинкованный лист тольшина 1,7мм, ширина 1250мм",тонна,
,00-00002233,Витишка Эрон (импорт),шт,
,00-00002234,Силикон Зонтик,шт,
,00-00002235,Отвод сварной 273мм,шт,
,00-00002236,Заглушка сварной металический 273мм,шт,
,00-00002237,Задвижка 300мм,шт,
,00-00002238,Переходник сварной металический 273х76мм,шт,
,00-00002239,"Вибратор ZN-90 2,2кв 220v",шт,
,00-00002240,Шланг вибратора 50мм 4м,шт,
,00-00002241,Шланг вибратора 50мм 6м,шт,
,00-00002242,Эмульсия сепадиган апарат Вагнер,шт,
,00-00002243,Миксер кондиционер редуктор,шт,
,00-00002244,Маркер доска,шт,
,00-00002245,Магнитный учиргич,шт,
,00-00002246,Воздушный фильтр Air filter 2851 (спец тех ),шт,
,00-00002247,Профиль 50х40 3мм,м,
,00-00002248,Рисоварка Sonifer,шт,
,00-00002249,Гофра 16мм (истирохат),м,
,00-00002250,Задвижка 80мм,шт,
,00-00002251,Фланец 80мм,шт,
,00-00002252,Прокладка клингрит 80мм,шт,
,00-00002253,Шаровой кран 50мм газовой,шт,
,00-00002254,Газ фильтр 50мм,шт,
,00-00002255,Бачонка 50мм,шт,
,00-00002256,Згон 57мм,комп,
,00-00002257,Переходник сварной  89х76,шт,
,00-00002258,Закладной деталь 10х150х150,шт,
,00-00002259,Косинка 150х150,шт,
,00-00002260,Закладной деталь 10х200х200,шт,
,00-00002261,"Лист 10мм 1,5х3",м2,
,00-00002262,"Уголок 75мм, тольшина 5мм",м,
,00-00002263,Труба металический 50х3,м,
,00-00002264,US 1000 Комплект,шт,
,00-00002265,US 750 Комплект,шт,
,00-00002266,Туманный фара (спец тех),шт,
,00-00002267,Болт М10. Шайба М10 медный,шт,
,00-00002268,Шлифовальный шкурка Р 320,шт,
,00-00002269,Паранит 5м,м,
,00-00002270,Люлька  4м (строительный лифт) (импорт),шт,
,00-00002271,Закладной деталь 10х300х300,шт,
,00-00002272,Лента 150х100 (спец тех KSP),м,
,00-00002273,Очиститель Карбюратора Avtoneed carb cleaner 450ml,шт,
,00-00002274,Антифриз Energy green 10кг,кг,
,00-00002275,"Каменная вата Thermo facade comfort 1200х600х100  150/100 3п (упаковка 0,648м3)",м3,
,00-00002276,"Жолоб из листа оцинкованный 0,7мм 1100х2500мм",п/м,
,00-00002277,Матор 4kv 380v,шт,
,00-00002278,Редуктор 110х25,шт,
,00-00002279,Пиломатериаль 70х200х3 метр,шт,
,00-00002280,Тайрот 3м,шт,
,00-00002281,Шпонка 200х28 (спец тех у-н),шт,
,00-00002282,Калодиц крышка,шт,
,00-00002283,Переходник металический 300х250,шт,
,00-00002284,Тен водяной,шт,
,00-00002285,Перфоратор EPA EPD-26P,шт,
,00-00002286,Шлифовальная черепашки 300,шт,
,00-00002287,Шлифовальная черепашки 1500,шт,
,00-00002288,Насадка для шлифовальная черепашка 100мм (лягушка),шт,
,00-00002289,HP Панель 280х130,шт,
,00-00002290,Кольцо 20х90 для колодца,шт,
,00-00002291,Дниша 20 для колодца,шт,
,00-00002292,Плита переклития 20 для колодца,шт,
,00-00002293,Шкиф 260х55 (спец тех у-н),шт,
,00-00002294,Вантус,шт,
,00-00002295,Бумага коп (60шт),пачка,
,00-00002296,Компрессор шланг,м,
,00-00002297,Штуцер набор (каробка 11шт),шт,
,00-00002298,Накидной ключ 12мм,шт,
,00-00002299,Накидной ключ 13мм,шт,
,00-00002300,Накидной ключ 14мм,шт,
,00-00002301,Накидной ключ 15мм,шт,
,00-00002302,Накидной ключ 16мм,шт,
,00-00002303,Накидной ключ 17мм,шт,
,00-00002304,Накидной ключ 18мм,шт,
,00-00002305,Накидной ключ 19мм,шт,
,00-00002306,Накидной ключ 22мм,шт,
,00-00002307,Накидной ключ 24мм,шт,
,00-00002308,Накидной ключ 30мм,шт,
,00-00002309,Накидной ключ 32мм,шт,
,00-00002310,Накидной ключ 36мм,шт,
,00-00002311,Накидной ключ 41мм,шт,
,00-00002312,Сварочный каска хамилён,шт,
,00-00002313,Головка ключ 30,шт,
,00-00002314,Головка ключ 32,шт,
,00-00002315,Зуб GTR6IN8 31310 (спец тех),шт,
,00-00002316,Тормозный клапан гидравлической цилиндра 803045151 (спец тех),шт,
,00-00002317,Клапан Кпп (спец тех),шт,
,00-00002318,Главный цилиндр (спец тех),шт,
,00-00002319,ПГУ 0051 (спец тех),шт,
,00-00002321,Краска бачок (китай импорт),шт,
,00-00002322,Втулька (для арматура рез),шт,
,00-00002323,Гайковерт Makute EW116,шт,
,00-00002324,"УСК1 Универсальный строп канатный тип 1диам. 19,5мм длиной 1,5 метра Удавка 10тонна",шт,
,00-00002325,Тройник из ппр 50,шт,
,00-00002326,Тройник из ппр 75,шт,
,00-00002327,Муфта из ппр 25,шт,
,00-00002328,Тройник из ппр 40х32мм,шт,
,00-00002329,Тройник из ппр 50х40,шт,
,00-00002330,Пена монтажный,шт,
,00-00002331,Силикон герметик 776  FAN,шт,
,00-00002332,Тош ойна лед,шт,
,00-00002333,Унитаз Fan,шт,
,00-00002334,Демпферная  лента уплотнитель (1шт 10м) Простой,м,
,00-00002335,Насос (спец тех Паук),шт,
,00-00002336,Масло Mobile 15-40 (спец тех),л,
,00-00002337,Масло compressor oil 150 20L,л,
,00-00002338,Масло Mannol LC-2 Hochyemperaturfett 18л Каплепадение+260,л,
,00-00002339,Река 45х45мм 4м,шт,
,00-00002341,Каменная вата Thermo facade comfort 1200х600х100  150/100 6п,м3,
,00-00002342,Лак для базальт клей,кг,
,00-00002343,Кондиционер G-Tech,шт,
,00-00002344,Термоусадочная трубка 30мм,м,
,00-00002345,Термоусадочная трубка 120мм,м,
,00-00002347,Автомат NM 100А,шт,
,00-00002348,Алюмин шина 30х30,шт,
,00-00002349,"Погружной насос CWQX-370  16,A(C),F VERO",шт,
,00-00002350,Заглушка из ппр 20мм,шт,
,00-00002351,"Столь 1,35х70",шт,
,00-00002352,Закладной лист 5х200х290,шт,
,00-00002353,Труба 100мм вентиляция (спираль),м,
,00-00002354,Гофра 32мм,м,
,00-00002355,"Компютер MSI PRO B760M-E DDR5 LGA 1700 i7-12700F, 3,2 GHZ, 25MB Lexar DDR5 16GB 5600Mhz Lexar DDR5 16GB 5600Mhz MSI-8GB GeForce RTX5060Ti Ventus 2X OC CaSE DeepCool CH370 black PF750 Deepcool blok PF750 AK620 Deepcool Cpu Cooler 1TB 990 EVO Samsung ssd m2 1tb toshiba hdd",шт,
,00-00002356,Монитор Redmi 27 100hz,шт,
,00-00002357,Принтер Epson L18050,шт,
,00-00002358,Тройник сварной 76х50,шт,
,00-00002359,Резбочка сварочный 50мм,шт,
,00-00002360,Гайковерт электрический Crown CT12018,шт,
,00-00002361,Насос Shimge 1WZB 220V,шт,
,00-00002362,Кресло офисной,шт,
,00-00002363,Сальник Hyundai R140W-9 140 Volvo (спец тех),шт,
,00-00002364,Кондиционер клапан Hyundai 300 DH225 (спец тех),шт,
,00-00002365,Ташки козон Zgaq-02931 (Спец тех),шт,
,00-00002366,Калта полос K900 1550 (Спец тех),шт,
,00-00002367,Zgaq-02912 (Спец тех) Ступица сальник,шт,
,00-00002368,Компресор R134a (спец тех),шт,
,00-00002369,Бачок ипли чашагенга Keraksan,шт,
,00-00002370,"Профнастиль гофрированный тольшина 0,40мм 5м",м,
,00-00002371,Пиломатериаль 50х180 6м,шт,
,00-00002372,Подшивник ролик (спец тех ),шт,Собир Рахимов 94 609 05 60
,00-00002373,Балон шина 9.OOR20 Wanli,шт,
,00-00002374,"Балон шина 315/80R22,5",шт,
,00-00002375,Расширителный бачок (спец тех),шт,
,00-00002376,Двойное колено (отвод) DN125х385х90 DEG MHWE27590-3 KCP,шт,
,00-00002377,Болгарка Makute AG126-L  125мм,шт,
,00-00002378,"Дорожная сетка 15х15-3,5мм",шт,
,00-00002380,Литол Litol Aramco kok 5кг,кг,
,00-00002381,Масло CASTROL Multi 20-50  20л,л,
,00-00002382,"Солидол Оддий 2,5кг (спец тех)",шт,
,00-00002383,Фильтр Havo filter 3043 (спец тех),шт,
,00-00002384,Антифриз Antifrezee Vertex Blue 5кг (спец тех),кг,
,00-00002385,Пиломатериаль 33х140 6м,шт,
,00-00002386,Накидной ключ 28мм,шт,
,00-00002387,Накидной ключ 27мм,шт,
,00-00002388,Накидной ключ 26мм,шт,
,00-00002389,Накидной ключ 23мм,шт,
,00-00002390,Накидной ключ 21мм,шт,
,00-00002391,Накидной ключ 20мм,шт,
,00-00002392,Весы электронный 30кг,шт,
,00-00002393,Весы электронный 1кг,шт,
,00-00002394,Газ балон аэрозоль,шт,
,00-00002395,Горелька аэрозоль,шт,
,00-00002396,Подрозетник хитой ок (8 Т ) (КИТАЙ),шт,
,00-00002397,Конденсатор,шт,
,00-00002398,Швеллер 3025мм,шт,
,00-00002399,Швеллер 2350мм,шт,
,00-00002400,Компресор запчаст (спец тех),шт,
,00-00002401,Ут урадиган аркони,шт,
,00-00002402,Краска грунтовка антипас ГФ-021 22кг,кг,
,00-00002403,4СЦ Четырехветвевой строп цепной грузоподъемностью 10тн длиной 4 метра с укорач крюком (паук),шт,
,00-00002404,Люлька  5м (строительный лифт) (импорт),шт,
,00-00002405,Бур для бетон 18х210,шт,
,00-00002406,Бур для бетон 8х350,шт,
,00-00002407,Генератор ремен 6РК 794 (спец тех у-н),шт,
,00-00002408,Шкурка 100мм,шт,
,00-00002409,Шкурка насадка,шт,
,00-00002410,Сальник 100,шт,
,00-00002411,Хомут металлический 40-60мм зажим,шт,
,00-00002413,Бронза шайба (спец тех),шт,
,00-00002414,Гайка котта (спец тех),шт,
,00-00002415,Сальник 5талик (спец тех),шт,
,00-00002416,Брон 3/36 (дробилка спец тех),шт,
,00-00002417,Генератор ремен 8РК 1755 (спец тех),шт,
,00-00002418,Бетонный кольцо КС15-9,шт,
,00-00002419,Ремент 2050Б,шт,
,00-00002420,Бочка пластмас 170л,шт,
,00-00002421,Бочка пластмас 100л,шт,
,00-00002422,Бочка пластмас 60л,шт,
,00-00002423,Шруповерт INGCO MMA P20S,шт,
,00-00002424,Сварочный апарат INGCO 200А,шт,
,00-00002425,Сверло по металу  ZONTIK SIVERLO 11,шт,
,00-00002426,Дифузор крипления 3913433,шт,
,00-00002427,Профиль 40х20х3,м,
,00-00002428,Балон для лесов,шт,
,00-00002429,Шпаклёвка внутренная (местный),кг,
,00-00002430,Жидкий травертин цвет белый (местный),кг,
,00-00002431,Жидкий травертин цвет красный (местный),кг,
,00-00002432,Мембрана STD Eco A,шт,
,00-00002433,Мембрана STD Eco B,шт,
,00-00002434,Мембрана STD  A,шт,
,00-00002435,Мембрана STD B,шт,
,00-00002437,Угловой адаптер в/р 20мм,шт,
,00-00002438,Антифриз Felix Export 10кг,кг,
,00-00002439,Электрод монолит 4мм,пачка,
,00-00002440,Газоблок местный 600х250х100,м3,
,00-00002441,Болт шестигранный 14х16 (дробилка спец тех),кг,
,00-00002442,Уголок 28х28,шт,
,00-00002443,Болт М10х50 (Дробилка),кг,
,00-00002444,Гайка М10х50 (Дробилка),кг,
,00-00002445,Шайба М10х50 (Дробилка),кг,
,00-00002446,Болт м8х50,кг,
,00-00002447,Гайка М8х50,кг,
,00-00002448,Шайба М8х50,кг,
,00-00002449,Шаровой кран бабочка 20мм,шт,
,00-00002450,Преходник черный 20х15,шт,
,00-00002451,Згон 20мм,шт,
,00-00002452,Газ фильтр 15мм,шт,
,00-00002453,Анализатор 25,шт,
,00-00002454,Шаровой кран 50мм,шт,
,00-00002456,Отвод сварной 20мм,шт,
,00-00002457,Профиль 40х60 4м,м,
,00-00002458,Разводной ключ 12,шт,
,00-00002459,Ремен 5300 СВ (спец тех),шт,
,00-00002460,Шпаклёвка фасадная Финиш  (местный),кг,
,00-00002461,Газ заправка,м3,
,00-00002462,Труба оцинкованный  25мм,м,
,00-00002463,Подоконник 25см (alyuks-A508) LL (N) белый,шт,
,00-00002464,Подоконник 25см  (N),шт,
,00-00002465,"Цемент II/A-K(З-И) 42,5Н Портландцемент композиционный  (мешок 40кг)",тонна,
,00-00002466,Шпатель 400мм,шт,
,00-00002467,Керамзить 20/40,м3,
,00-00002468,Двер Мдф 120х240 (импорт Китай),шт,
,00-00002469,Двер Мдф 90х240 (импорт китай),шт,
,00-00002470,"Кафель 60х60 Orient Ceramic 0051 (4шт пачка 1,44м2)",м2,
,00-00002471,Головка ключ 10мм,шт,
,00-00002472,Головка ключ 12мм,шт,
,00-00002473,Дорожная сетка 10х10  4,шт,
,00-00002474,Трос башенный кран 10мм,м,
,00-00002475,Химический анкер Зонтик,шт,
,00-00002476,Переходник из ппр 40х20,шт,
,00-00002477,Металлический хомут 74-80  1/2 (лехкий),шт,
,00-00002478,Антитрешенный раствор (местный),кг,
,00-00002479,Шайба гравир 16х80 (бру спец тех),кг,
,00-00002480,Шайба гравир 16х60 (бру спец тех),кг,
,00-00002481,Насос падушка ролик (Стационар помпа насос),шт,
,00-00002482,Помпа насос трубка (помпа спец тех),шт,
,00-00002483,Ноутбук Asus S5606M,шт,
,00-00002484,Ноутбук HP OmniBook 5 Flip Laptor,шт,
,00-00002485,Лазерная Хлава,шт,
,00-00002486,Мышка Pabble 2 Logitech,шт,
,00-00002487,Сумка для ноутбука,шт,
,00-00002488,Лазерный дальномер 70м,шт,
,00-00002489,Труба металический 100мм,м,
,00-00002490,Отвод сварной 100мм,шт,
,00-00002491,Лист металический 450х1х450,шт,
,00-00002492,Кабель ВПП 16,м,
,00-00002493,Пакет 3кг,шт,
,00-00002494,Пакет 5кг,шт,
,00-00002495,Карчер шланг с пистолетом,шт,
,00-00002496,Кабель АВВГ 5х240мм2,м,
,00-00002497,Профиль для гипсокартона 27х28 060,шт,
,00-00002498,Дюбель гвозд 6х60    4.49кг,кг,
,00-00002499,Бетон гвозд 100мм,кг,
,00-00002500,Кислород Балон,шт,
,00-00002501,Щит 800х600,шт,
,00-00002502,Кабель АВВГ 4х50,м,
,00-00002503,Тяга для бетона 40 (сих),шт,
,00-00002504,Адаптер сварочного аппарата маленкый,шт,
,00-00002505,Адаптер сварочного аппарата большой,шт,
,00-00002506,Гидравлический шланг (спец тех),шт,
,00-00002507,Силось лист (спец тех бру),шт,
,00-00002508,Силось Крыша (спец тех бру),шт,
,00-00002509,Нижняя часть (спец тех бру),шт,
,00-00002510,Конус (варонка) (спец тех бру),шт,
,00-00002511,Силось ноги (спец тех бру),шт,
,00-00002512,Силось заправка труба (6м) (спец тех бру),шт,
,00-00002513,Силось заправка труба (3м) (спец тех бру),шт,
,00-00002514,"Силось уголник (3,00) (спец тех бру)",шт,
,00-00002515,"Силось уголник (1,87) (спец тех бру)",шт,
,00-00002516,Силось уголник (80) (спец тех бру),шт,
,00-00002517,Силось плошадка (спец тех бру),шт,
,00-00002518,Силось ограждения (спец тех бру),шт,
,00-00002519,Силось болт для ноги 20х60 (спец тех бру),шт,
,00-00002520,Силось болт для ноги 16х40 (спец тех бру),шт,
,00-00002521,Гайки (спец тех бру),шт,
,00-00002522,Шайбы (гровр) (спец тех бру),шт,
,00-00002523,Шайбы (простой) (спец тех бру),шт,
,00-00002524,Ручной клапан (250) (спец тех бру),шт,
,00-00002525,Воздух шланг 15м (спец тех бру),шт,
,00-00002526,Коп (спец тех бру),шт,
,00-00002527,Хомуд (спец тех бру),шт,
,00-00002528,Герметик пистолет (спец тех бру),шт,
,00-00002529,Фитинг резба (12) (спец тех бру),шт,
,00-00002530,Силось фильтр (спец тех бру),шт,
,00-00002531,Фильтр мал (спец тех бру),шт,
,00-00002532,Фланец (спец тех бру),шт,
,00-00002533,Накидной ключ 29мм,шт,
,00-00002534,Головка насадка 14мм,шт,
,00-00002535,Лазерный уровен Purda,шт,
,00-00002536,Шпилька М24  1м,шт,
,00-00002537,Гайка М36 ключ,шт,
,00-00002538,Каменная вата Thermo roof 1200х600х50  170/50 4п,м2,
,00-00002539,Фтулька 42х210мм,шт,
,00-00002540,Газоблок 625х250х300,м3,
,00-00002541,Ступица гайка (спец тех),шт,
,00-00002542,Подшибник UCT214 (дробилка спец тех),шт,
,00-00002543,Подшибник 113516 (спец тех),шт,
,00-00002544,Тепловой реле 10А (теплушка),шт,
,00-00002545,Отвод сварной эрон 57,шт,
,00-00002546,Фланец 57,шт,
